Date,Day,Event,Location,Address,County,City,Region,LAT,LON
4/25/2022,Monday,Buffalo Budget Roadshow Event,Kleinhans Music Hall,"3 Symphony Circle, Buffalo, NY",Erie,Buffalo,Western New York,42.9029244,-78.8816923
4/25/2022,Monday,Economic Development Announcement,,"5757 Marcy-SUNY IT Parkway, Marcy, NY",Oneida,Marcy,Mohawk Valley,43.13934045,-75.23747416
4/25/2022,Monday,Iftar Dinner,New York State Museum ,"222 Madison Avenue, Albany, NY",Albany,Albany,Capital Region,42.648625,-73.7619066
4/26/2022,Tuesday,Plattsburgh Budget Roadshow Event,Nova Bus Showroom ,"260 Banker Road, Plattsburgh, NY",Clinton,Plattsburgh,North Country,44.7125832,-73.5391093
4/27/2022,Wednesday,MTA Board Meeting and MTA Worker Ceremony,MTA,"2 Broadway, New York, NY",New York,New York,New York City,40.618691,-73.397473
4/27/2022,Wednesday,National Institute for Reproductive Health’s Annual Champions of Choice Luncheon,Ziegfeld Ballroom,"141 West 54th Street, New York, NY",New York,New York,New York City,40.7630368,-73.9798333
4/27/2022,Wednesday,Holocaust Survivors Funding Announcement,Boro Park Y,"4912 14th Avenue, Brooklyn, NY",Kings,Brooklyn,New York City,40.6335297,-73.9905236
4/28/2022,Thursday,Education Budget Announcement ,Enrico Fermi School,"27 Poplar Street, Yonkers, NY",Westchester,Yonkers,Mid-Hudson,40.9312745,-73.8910064
4/28/2022,Thursday,Asian American Bar Association of New York Annual Dinner,Cipriani Wall Street,"55 Wall Street, New York, NY",New York,New York,New York City,40.7059031,-74.0093449
4/28/2022,Thursday,Hispanic Federation’s Annual Gala,Rose Center for Earth and Space,"81st Street and Central Park West, New York, NY",New York,New York,New York City,40.778168,-73.974531
4/29/2022,Friday,Albany Skyway Ribbon Cutting Ceremony, Albany Skyway,"10 Quay Street, Albany, NY",Albany,Albany,Capital Region,42.6496727,-73.7477721
5/1/2022,Sunday,Church Services,Beulah Church of the Nazarene,"1250 St. John’s Place, Brooklyn, NY",Kings,Brooklyn,New York City,40.670832,-73.937471
5/1/2022,Sunday,Church Services,Brown Memorial Baptist Church ,"484 Washington Avenue Brooklyn, NY",Kings,Brooklyn,New York City,40.6842393,-73.9654463
5/1/2022,Sunday,Church Services,Antioch Baptist Church,"828 Greene Avenue, Brooklyn, NY",Kings,Brooklyn,New York City,40.6900097,-73.9349541
5/2/2022,Monday,Affordable Housing Announcement,Dreiser Community Center Auditorium,"177 Dreiser Loop, Bronx, NY",Bronx,Bronx,New York City,40.8777839,-73.8292461
5/2/2022,Monday,American Irish Legislators Society of New York Annual Dinner ,Hibernian Hall ,"375 Ontario Street, Albany, NY",Albany,Albany,Capital Region,42.6575772,-73.785997
5/3/2022,Tuesday,Announcement of Lieutenant Governor ,State Capitol,"State St. and, Washington Ave, Albany, NY 12224",Albany,Albany,Capital Region,42.691176,-73.824057
5/3/2022,Tuesday,New York State Bipartisan Pro-Choice Legislative Caucus Press Conference,State Capitol,"State St. and, Washington Ave, Albany, NY 12224",Albany,Albany,Capital Region,42.691176,-73.824057
5/3/2022,Tuesday,Planned Parenthood Rally for Abortion Rights,State Capitol,"State St. and, Washington Ave, Albany, NY 12224",Albany,Albany,Capital Region,42.691176,-73.824057
5/4/2022,Wednesday,Partnership for New York City Board Meeting ,Hearst Tower,"300 West 57th Street, New York, NY",New York,New York,New York City,40.7664448,-73.9833255
5/6/2022,Friday,Regional Plan Association Centennial Assembly,Chelsea Piers,"62 Chelsea Piers, New York, NY",New York,New York,New York City,43.072071,-77.541673
5/14/2022,Saturday,University at Albany Commencement Ceremony,University at Albany,"1400 Washington Avenue, Albany, New York",Albany,Albany,Capital Region,42.6840271,-73.8258773
5/14/2022,Saturday,Mass Shooting Briefing,Apollo Media Center,"1346 Jefferson Avenue, Buffalo, NY",Erie,Buffalo,Western New York,42.9118665,-78.8544568
5/15/2022,Sunday,True Bethel Baptist Church Services,True Bethel Baptist Church,"907 East Ferry Street, Buffalo, NY",Erie,Buffalo,Western New York,42.9138536,-78.8300714
5/15/2022,Sunday,Press Conference,Buffalo Fire Department Engine 21,"1229 Jefferson Avenue, Buffalo, NY",Erie,Buffalo,Western New York,42.9084343,-78.8535703
5/15/2022,Sunday,Interfaith Service of Prayer and Lament,Macedonia Baptist Church,"237 East North Street, Buffalo, NY",Erie,Buffalo,Western New York,42.9019826,-78.859822
5/17/2022,Tuesday,Greet President Biden at Buffalo Niagara Int’l Airport,Buffalo Niagara International Airport,"281 Cayuga Road,
Buffalo, NY",Erie,Buffalo,Western New York,42.9379053,-78.7439802
5/17/2022,Tuesday,Flower Laying at Tops Supermarket,,"1275 Jefferson Avenue
Buffalo, NY",Erie,Buffalo,Western New York,42.9098527,-78.8526222
5/17/2022,Tuesday,Greet Grieving Families,Delevan Grider Community Center,"877 East Delavan Avenue
Buffalo, NY ",Erie,Buffalo,Western New York,42.9221767,-78.8241674
5/17/2022,Tuesday,Press Conference with President Biden,Delevan Grider Community Center,"877 East Delavan Avenue
Buffalo, NY ",Erie,Buffalo,Western New York,42.9221767,-78.8241674
5/18/2022,Wednesday,Public Safety Announcement,"Governor's Office, NYC","633 3rd Avenue, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
5/19/2022,Thursday,New York State Association for Affordable Housing Conference,Marriott Marquis Times Square,"1355 Broadway, New York, NY",New York,New York,New York City,40.640298,-73.6989202
5/20/2022,Friday,Child Care Announcement,Hebrew Educational Society,"9502 Seaview Avenue, Brooklyn, NY",Kings,New York,New York City,40.6324982,-73.8906667
5/21/2022,Saturday,Brooklyn Christian Fellowship Seventh-Day Adventist Church Services, Brooklyn Christian Fellowship Seventh-Day Adventist Church,"777 Schenectady Avenue, Brooklyn, New York",Kings,New York,New York City,40.6543811,-73.9332844
5/21/2022,Saturday,United Federation of Teachers Spring Conference,Hilton Midtown,"1335 Avenue of the Americas, New York, NY",New York,New York,New York City,40.762461,-73.979713
5/21/2022,Saturday,Performance of “Girl from the North Country”,Belasco Theatre,"111 West 44th Street, New York, NY",New York,New York,New York City,40.756644,-73.9838007
5/22/2022,Sunday,Met Council Legislation Breakfast,The Yale Club,"50 Vanderbilt Avenue, New York, NY",New York,New York,New York City,40.75402,-73.9775214
5/22/2022,Sunday,Church Services,Bethel Gospel Assembly,"2-25 East 120th Street, New York, NY",New York,New York,New York City,40.8025484,-73.9429883
5/22/2022,Sunday,Church Services,Mother A.M.E. Zion Church,"140 West 137th Street, New York, NY",New York,New York,New York City,40.8159433,-73.9417978
5/22/2022,Sunday,66th Annual Celebrate Israel Parade,,"55th Street and 5th Avenue, New York, NY",New York,New York,New York City,40.762966,-73.973968
5/23/2022,Monday,Finger Lakes Workforce Development Center Ribbon Cutting,MCC Downtown Campus,"321 State Street, Rochester, NY",Monroe,Rochester,Finger Lakes,43.1605435,-77.6190144
5/24/2022,Tuesday,Central New York Delegation Breakfast,Executive Mansion,"138 Eagle Street, Albany, NY ",Albany,Albany,Capital Region,42.6467004,-73.7608686
5/24/2022,Tuesday,Adult Survivors Act Bill Signing,State Capitol,"State St. and, Washington Ave, Albany, NY 12224",Albany,Albany,Capital Region,42.691176,-73.824057
5/24/2022,Tuesday,Asian American Pacific Islander Heritage Month Reception,Executive Mansion,"138 Eagle Street, Albany, NY ",Albany,Albany,Capital Region,42.6467004,-73.7608686
5/24/2022,Tuesday,Women’s Legislative Caucus End of Session Dinner,The Argus Hotel,"8 Thurlow Terrace, Albany, NY",Albany,Albany,Capital Region,42.6596114,-73.7737893
5/24/2022,Tuesday,Legislative Correspondents Association Show,The State Room,"100 State Street, Albany, NY",Albany,Albany,Capital Region,42.6498901,-73.7534384
5/25/2022,Wednesday,Meeting of the Interstate Task Force on Illegal Guns,New York State Intelligence Center,"31 Tech Valley Drive, East Greenbush, NY",Rensselaer,East Greenbush,Capital Region,42.6283692,-73.6952683
5/25/2022,Wednesday,Swearing-In of Lieutenant Governor Antonio Delgado,"Governor's Office, NYC","633 3rd Avenue, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
5/25/2022,Wednesday,Swearing-In Reception,Docks Oyster Bar,"633 3rd Avenue, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
5/28/2022,Saturday,Greet Buffalo Mayor Byron Brown,Buffalo Niagara International Airport,"4200 Genesee Street,
Buffalo, NY",Erie,Buffalo,Western New York,42.9337237,-78.7334568
5/28/2022,Saturday,Funeral Services for Ruth Whitfield,Mount Olive Baptist Church,"701 East Delavan Avenue, Buffalo, NY",Erie,Buffalo,Western New York,42.921882,-78.831486
5/29/2022,Sunday,Church Services,Rehoboth Cathedral,"55 MacDougal Street, Brooklyn, NY",Kings,Brooklyn,New York City,40.6794583,-73.9200011
5/29/2022,Sunday,Church Services, First Baptist Church of Crown Heights,"450 Eastern Parkway, Brooklyn, NY",Kings,Brooklyn,New York City,40.6693706,-73.9536313
5/29/2022,Sunday,Church Services,Evangelical Crusade of Fishers of Men,"555 East 31st Street, Brooklyn, NY",Kings,Brooklyn,New York City,40.636831,-73.946977
5/29/2022,Sunday,Crown Heights Jewish Community Council Women’s Brunch,Crown Heights’ Razag Hall,"739 East New York Avenue, Brooklyn, NY",Kings,Brooklyn,New York City,40.6625739,-73.9380141
5/29/2022,Sunday,Tina: The Tina Turner Musical on Broadway,Lunt-Fontanne Theatre,"205 West 46th Street, New York, NY",New York,New York,New York City,40.7591662,-73.9859015
5/30/2022,Monday,"Commemoration of the 20th Anniversary of the Formal End of Recovery
Operations at Ground Zero",9/11 Memorial,"180 Greenwich Street, New York, NY",New York,New York,New York City,40.7114527,-74.0126703
5/30/2022,Monday,"Intrepid Sea, Air, and Space Museum’s Memorial Day Ceremony","Intrepid Sea, Air & Space Museum","W 46th St and 12th Ave
New York, NY",New York,New York,New York City,40.767303,-73.996034
5/30/2022,Monday,Little Neck-Douglaston Memorial Day Parade,,"Buttonwood Road & Northern Boulevard, Queens, NY",Queens,Queens,New York City,40.78365429,-73.73238792
5/31/2022,Tuesday,East Side Access Announcement,Grand Central Terminal,"15 Vanderbilt Avenue, New York, NY",New York,New York,New York City,40.752605,-73.9778482
6/1/2022,Wednesday,Visit to Gas Station,BP Gas Station,"82-06 Astoria Boulevard, Queens, NY",Queens,Queens,New York City,40.761586,-73.8674428
6/1/2022,Wednesday,LaGuardia Terminal C Ribbon Cutting Ceremony,LaGuardia Airport,"Grand Central Pkwy, East Elmhurst, NY 11369",Queens,Queens,New York City,40.7690427,-73.8662219
6/1/2022,Wednesday,Meeting with Uniting Clergy Community and Police,Agape Hall,"128-05 Liberty Avenue, South Richmond Hill, NY",Queens,Queens,New York City,40.708733,-74.009584
6/3/2022,Friday,Choose Healthy Life Announcement,First Corinthian Baptist Church,"1912 Adam Clayton Powell Jr. Boulevard, New York, NY",New York,New York,New York City,40.8031037,-73.9529416
6/5/2022,Sunday,Church Services,Maranatha Baptist Church,"112-42 Springfield Boulevard, Queens Village, NY",Queens,Queens,New York City,40.7310022,-73.745834
6/5/2022,Sunday,Church Services,Mt. Olivet Baptist Church,"202-03 Hollis Avenue, Queens, NY",Queens,Queens,New York City,40.7065863,-73.7556043
6/5/2022,Sunday,Church Services,Majority Baptist Church,"11521 Farmers Boulevard, Queens, NY 11412",Queens,Queens,New York City,40.6973573,-73.7620213
6/6/2022,Monday,Gun Safety Legislation Bill Signing ,Northeast YMCA,"1250 East 229th Street, Bronx, NY",Bronx,Bronx,New York City,40.8824903,-73.8432057
6/7/2022,Tuesday,Affordable Housing Bill Signing,"Governor's Office, NYC","633 3rd Avenue, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
6/9/2022,Thursday,Penn Station Announcement,Moynihan Train Hall,"350 West 33rd Street, New York, NY",New York,New York,New York City,40.7520615,-73.9954481
6/10/2022,Friday,Press Availability ,State Capitol,"State St. and, Washington Ave, Albany, NY 12224",Albany,Albany,Capital Region,42.691176,-73.824057
6/11/2022,Saturday,Attend and Present Trophy at the 154th Belmont Stakes,Belmont Park 2150,"Hempstead Turnpike, Elmont, NY",Nassau,Elmont,Long Island,40.708831,-73.720581
6/11/2022,Saturday,2022 National Puerto Rican Day Parade Gala,New York Central Park Zoo,"East 64th Street New York, NY",New York,New York,New York City,40.6190245,-73.9153756
6/12/2022,Sunday,Puerto Rican Day Parade Breakfast ,New York City Bar Association,"42 West 44th Street, New York, NY",New York,New York,New York City,40.7555187,-73.9819926
6/12/2022,Sunday,Puerto Rican Day Parade,,"5th Avenue and 43rd Street, New York, NY",New York,New York,New York City,40.750493,-73.971713
6/12/2022,Sunday,American Jewish Committee’s Global Forum – Opening Plenary,Congregation Emanu-El of the City of New York,"1 East 65th Street, New York, NY",New York,New York,New York City,40.7680271,-73.9696902
6/13/2022,Monday,Reproductive Health Bill Signing ,The Cooper Union,"30 Cooper Square, New York, NY",New York,New York,New York City,40.7281282,-73.9915748
6/15/2022,Wednesday,Early Childhood Education Announcement,Chestnut Street School,"252 Chestnut Street, West Hempstead, NY",Nassau,West Hempstead,Long Island,40.6973281,-73.6520032
6/17/2022,Friday,New York City Housing Authority Preservation Trust Bill Signing,Polo Grounds Towers,"3005 Frederick Douglass Boulevard, New York, NY",New York,New York,New York City,40.8319147,-73.9368783
6/18/2022,Saturday,Cast Early Vote,"St Columba-Brigid, RC","75 Hickory Street, Buffalo, NY",Erie,Buffalo,Western New York,42.8815866,-78.8592963
6/18/2022,Saturday,Buffalo Juneteenth Parade,,"1517 Genesee Street at Moselle Street, Buffalo, NY",Erie,Buffalo,Western New York,42.908391,-78.82415
6/18/2022,Saturday,East Buffalo Investments Announcement,Apollo Media Center,"1346 Jefferson Avenue, Buffalo, NY",Erie,Buffalo,Western New York,42.9118665,-78.8544568
6/20/2022,Monday,John R. Lewis Voting Rights Act of New York Signing ,Medgar Evers College,"1638 Bedford Avenue, Brooklyn, NY",Kings,Brooklyn,New York City,40.667009,-73.9572296
6/21/2022,Tuesday,LaGuardia Community College’s 50th Annual Commencement,Queens College,"Reeves Street and 153rd Street, Queens, NY",Queens,Queens,New York City,40.73913568,-73.81841504
6/22/2022,Wednesday,Economic Development Announcement,Regeneron Pharmaceuticals,"777 Old Saw Mill River Road, Tarrytown, NY",Westchester,Tarrytown,Mid-Hudson,41.0783771,-73.8235844
6/23/2022,Thursday,Alyssa’s Law Bill Signing,"Governor's Office, NYC","633 3rd Avenue, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
6/23/2022,Thursday,Real Estate Board of New York’s Annual Cocktail Reception ,The Glasshouse,"660 12th Avenue ,New York, NY",New York,New York,New York City,40.7657202,-73.9971901
6/24/2022,Friday,School Zone Speed Camera Legislation Signing,The Clinton School,"10 East 15th Street, New York, NY",New York,New York,New York City,40.8396798,-73.4111365
6/24/2022,Friday,Stonewall National Monument Visitor Center Groundbreaking,Stonewall Inn,"51 Christopher Street, New York, NY",New York,New York,New York City,40.7339151,-74.0020726
6/26/2022,Sunday,New York City Pride Parade,Madison Square Park,"5th Avenue and 26th Street, New York, NY",New York,New York,New York City,40.742771,-73.986597
6/27/2022,Monday,Transit Worker Bill Signing,Jamaica Bus Depot,"Liberty Avenue and Merrick Boulevard, Queens, NY",Queens,Queens,New York City,40.70247501,-73.79126632
6/29/2022,Wednesday,Meeting of the Interstate Task Force on Illegal Guns,New York State Intelligence Center,"31 Tech Valley Drive, East Greenbush, NY",Rensselaer,East Greenbush,Capital Region,42.6283692,-73.6952683
7/1/2022,Friday,Extraordinary Session Press Conference,State Capitol,"State St. and, Washington Ave, Albany, NY 12224",Albany,Albany,Capital Region,42.691176,-73.824057
7/4/2022,Monday,Office of General Services’ Annual July 4th Celebration & Naturalization Ceremony,Empire State Plaza ,"100 S Mall Arterial, Albany, NY 12242",Albany,Albany,Capital Region,42.6517957,-73.7619817
7/5/2022,Tuesday,Environmental and Labor Bill Signing,"Brooklyn Navy Yard, New Lab Building 128","19 Morris Avenue, Brooklyn, NY",Kings,Brooklyn,New York City,40.6987989,-73.9747153
7/7/2022,Thursday,Septic Funding & Water Infrastructure Improvement Announcement,Suffolk County Water Authority Education Center,"260 Motor Parkway, Hauppauge, NY",Suffolk,Hauppauge,Long Island,40.8053418,-73.2667005
7/7/2022,Thursday,Visit to Fatima Alzahraa Mosque,Fatima Alzahraa Mosque,"55 Pond Road, Ronkonkoma, NY",Suffolk,Ronkonkoma,Long Island,40.8207024,-73.1180983
7/8/2022,Friday,Corning Semiconductor Expansion Announcement,Corning Semiconductor Facility,"60 O'Connor Road, Fairport, NY",Monroe,Fairport,Finger Lakes,43.105719,-77.4551604
7/11/2022,Monday,Energy Transmission’s Empire State Line Ribbon Cutting,The Backlot Entertainment Venue,"11891 Main Street, Akron, NY",Erie,Akron,Western New York,43.02009,-78.498337
7/12/2022,Tuesday,Reproductive Healthcare Press Conference,"Governor's Office, NYC","633 3rd Avenue, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
7/13/2022,Wednesday,Jamaica Development Corporation Co-Working Space Ribbon Cutting,Greater Jamaica Development Corporation,"89-14 Parsons Boulevard, Queens, NY",Queens,Queens,New York City,40.7055304,-73.8017792
7/14/2022,Thursday,Gun Violence Prevention Funding Announcement,CAMBA ,"1667 Pitkin Avenue, Brooklyn, NY",Kings,Brooklyn,New York City,40.6696677,-73.9118398
7/18/2022,Monday,Tour of Bruno Farm,Bruno Farm,"740 Wading River Road, Manorville, NY",Suffolk,Manorville,Long Island,40.8609339,-72.8212987
7/19/2022,Tuesday,Wage Theft Announcement,Bridge Painter’s Room,"45-15 36th Street, Long Island City, NY",Queens,Queens,New York City,40.749929,-73.98411
7/20/2022,Wednesday,Covid Press Conference,"Governor's Office, NYC","633 3rd Avenue, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
7/21/2022,Thursday,Democratic National Committee Press Conference,Jacob K. Javits Convention Center,"429 11th Avenue, New York, NY",New York,New York,New York City,40.7583595,-74.0021206
7/24/2022,Sunday,Church Services,Bethany Baptist Church,"303 West 153rd Street, New York, NY",New York,New York,New York City,40.8282909,-73.9386701
7/25/2022,Monday,Childcare Funding Announcement,YM&YWHA of Washington Heights & Inwood,"54 Nagle Avenue, New York, NY",New York,New York,New York City,40.8602278,-73.9295833
7/26/2022,Tuesday,New York State Association of Chiefs of Police Annual Conference,Queensbury Hotel,"88 Ridge Street, Glens Falls, NY",Warren,Glens Falls,Capital Region,43.3119851,-73.6442048
7/26/2022,Tuesday,Pipe Trades Association’s 112th Annual Conference,Fort William Henry Resort Hotel and Conference Center,"48 Canada Street, Lake George, NY",Warren,Lake George,Capital Region,43.4209485,-73.7129362
7/26/2022,Tuesday,New York State Laborers Summer Convention,The Sagamore Resort on Lake George,"110 Sagamore Road, Bolton Landing, NY",Warren,Bolton Landing,Capital Region,43.558657,-73.6446385
7/26/2022,Tuesday,Developmental Disabilities Bill Signing,CUNY Graduate Center,"365 5th Avenue, New York, NY",New York,New York,New York City,40.7485188,-73.9836393
7/27/2022,Wednesday,Starhill Phase 1 Groundbreaking,,"1600 Grand Avenue, Bronx, NY",Bronx,Bronx,New York City,40.846547,-73.916023
7/28/2022,Thursday,Economic Development Announcement,JMA Headquarters,"120-154 Cortland Avenue, Syracuse, NY",Onondaga,Syracuse,Central New York,43.0351606,-76.15133
7/28/2022,Thursday,REDI Announcement,Antique Boat Museum,"750 Mary Street, Clayton, NY",Jefferson,Clayton,North Country,44.2377954,-76.0894181
7/29/2022,Friday,Roundtable Discussion and Tour of Mapleview Farm,Mapleview Farm,"307 Jones Road, Madrid, NY",St. Lawrence,Madrid,North Country,44.6890085,-75.2033421
7/29/2022,Friday,World University Games 6 Months Out Event,Mount Van Hoevenberg,"220 Bobsled Run Lane, Lake Placid, NY",Essex,Lake Placid,North Country,44.223048,-73.916122
7/29/2022,Friday,Tour of Olympic Sports Complex,Mount Van Hoevenberg,"220 Bobsled Run Lane, Lake Placid, NY",Essex,Lake Placid,North Country,44.223048,-73.916122
7/29/2022,Friday,Visit Adirondack Trading Post,Adirondack Trading Post,"2513 Main Street, Lake Placid, NY",Essex,Lake Placid,North Country,44.2876508,-73.9850453
7/29/2022,Friday,Visit Pure Placid Shop,Pure Placid Shop,"2470 Main Street, Lake Placid, NY",Essex,Lake Placid,North Country,44.2892143,-73.9855354
7/29/2022,Friday,Visit Adirondack Popcorn Company,Adirondack Popcorn Company,"2461 Main Street, Lake Placid, NY",Essex,Lake Placid,North Country,44.2894858,-73.9850178
7/30/2022,Saturday,Day of Hope & Healing Press Conference,Stanley Makowski Early Childhood Center,"1095 Jefferson Avenue, Buffalo, NY",Erie,Buffalo,Western New York,42.904523,-78.8529815
7/30/2022,Saturday,Tour of the Buffalo Resiliency Center,"Resource Council of Western New York, Inc.","347 East Ferry Street,  Buffalo, NY",Erie,Buffalo,Western New York,42.9146657,-78.8513034
8/1/2022,Monday,Funeral Services for Rochester Police Officer Anthony Mazurkiewicz,Blue Cross Arena,"100 Exchange Boulevard, Rochester, NY",Monroe,Rochester,Finger Lakes,43.1538266,-77.6108887
8/2/2022,Tuesday,New York State Building Trades Constitutional Convention,The Saratoga Hilton,"534 Broadway, Saratoga Springs, NY",Saratoga,Saratoga Springs,Capital Region,43.0855799,-73.7824187
8/2/2022,Tuesday,NYCHA Clean Heat Announcement,Woodside Houses,"31-62 51st Street, Woodside, NY",Queens,Queens,New York City,40.7442068,-73.9137556
8/2/2022,Tuesday,WNBA New York Liberty Game,Barclays Center,"620 Atlantic Ave, Brooklyn, NY 11217",Kings,Brooklyn,New York City,40.6825106,-73.9752519
8/2/2022,Tuesday,78th Precinct National Night Out Event,Grand Army Plaza,"Flatbush Ave, Brooklyn, NY 11238",Kings,Brooklyn,New York City,40.6751334,-73.9709687
8/3/2022,Wednesday,Nurses for Our Future Scholarship Announcement,"Governor's Office, NYC","633 3rd Avenue, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
8/4/2022,Thursday,Gun Seizure Announcement,W. Averell Harriman State Office Building Campus ,"1220 Washington Ave, Albany, NY 12203",Albany,Albany,Capital Region,42.6829646,-73.8171997
8/5/2022,Friday,Visit Troy Farmers Market,Monument Square,"Broadway & 2nd Street, Troy, NY",Rensselaer,Troy,Capital Region,42.7310051,-73.6877828
8/8/2022,Monday,Operating Engineers Annual Conference,The Sagamore Resort on Lake George,"110 Sagamore Road, Bolton Landing, NY",Warren,Bolton Landing,Capital Region,43.558657,-73.6446385
8/8/2022,Monday,Property Tax Exemption Bill Signing,Dayspring Community Center,"320 Walnut Street, Yonkers, NY",Westchester,Yonkers,Mid-Hudson,40.932943,-73.8872395
8/10/2022,Wednesday,Firefighters Association of New York 150th Anniversary Conference,Tarrytown House Estate on The Hudson,"49 East Sunnyside Lane, Tarrytown, NY",Westchester,Tarrytown,Mid-Hudson,41.0509664,-73.8579292
8/10/2022,Wednesday,Holocaust Education Bill Signing Event,Museum of Jewish Heritage,"36 Battery Place, New York, NY",New York,New York,New York City,40.7061186,-74.0182811
8/11/2022,Thursday,Green Chips Act Bill Signing,The Zero Energy Nanotechnology (ZEN) Building,"201 Fuller Road, Albany, NY",Albany,Albany,Capital Region,42.69229,-73.83086
8/12/2022,Friday,Red Flag Laws Update Announcement,North Babylon Youth Center,"213 Phelps Lane, North Babylon, NY",Suffolk,North Babylon,Long Island,40.7259308,-73.3316953
8/14/2022,Sunday,40th Annual Dominican Day Parade,,"37th Street and 6th Avenue, New York, NY",New York,New York,New York City,40.753554,-73.985042
8/14/2022,Sunday,Tour the Chautauqua Institution,Chautauqua Institution,"1 Ames Avenue, Chautauqua, NY",Chautauqua,Chautauqua,Western New York,42.2100772,-79.466704
8/15/2022,Monday,Buffalo Waterfront Announcement,Buffalo Harbor,"825 Fuhrmann Boulevard, Buffalo, NY",Erie,Buffalo,Western New York,42.8574299,-78.8693822
8/15/2022,Monday,Third Track Project Announcement Event,New Hyde Park Station,"165 S 12th St, New Hyde Park, NY 11040",New York,New York,New York City,40.728017,-73.681942
8/16/2022,Tuesday,Indian Independence Day Event,Queens Museum,"Flushing Meadows Corona Park, Queens, NY",Queens,Queens,New York City,40.7405485,-73.842789
8/17/2022,Wednesday,Schomburg Center Announcement ,Schomburg Center,"515 Malcolm X Boulevard, New York, NY",New York,New York,New York City,40.814706,-73.940542
8/17/2022,Wednesday,Visit NYC Health + Hospitals/Harlem,Ronald H. Brown Ambulatory Care Pavilion,"46 West 137th Street, New York, NY",New York,New York,New York City,40.8146946,-73.9389396
8/17/2022,Wednesday,Amateur Night at Apollo Theater,Apollo Theater,"253 West 125th Street, New York, NY",New York,New York,New York City,40.8100895,-73.9499948
8/18/2022,Thursday,Part-Time TAP Expansion Announcement ,The Shirley Fiterman Art Center at Borough of Manhattan Community College,"81 Barclay Street, New York, NY",New York,New York,New York City,40.735866,-73.3546503
8/19/2022,Friday,Hurricane Preparedness and Storm Resiliency Briefing and Press Conference,SUNY Farmingdale,"2350 Broadhollow Road, Farmingdale, NY",Suffolk,Farmingdale,Long Island,40.7534296,-73.4236044
8/22/2022,Monday,Health Briefing,"Governor's Office, NYC","633 3rd Avenue, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
8/22/2022,Monday,Boxing License Presentation,"Governor's Office, NYC","633 3rd Avenue, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
8/24/2022,Wednesday,Interstate Gun Safety Task Force Meeting,HIDTA NYC Office,"250 Vesey Street,  New York, NY",New York,New York,New York City,40.7144361,-74.0158043
8/24/2022,Wednesday,State Fair Governor’s Day Event,Daniella’s Steakhouse,"581 State Fair Boulevard, Syracuse, NY",Onondaga,Syracuse,Central New York,43.060567,-76.1859626
8/26/2022,Friday,Women’s Equality Day Event,Center For Women in Government,"135 Western Avenue, Albany, NY",Albany,Albany,Capital Region,42.7684739,-73.7242823
8/26/2022,Friday,Governor Paterson Executive Mansion Tree Planting,Executive Mansion,"138 Eagle Street, Albany, NY",Albany,Albany,Capital Region,42.6467004,-73.7608686
8/26/2022,Friday,Marylou Whitney Sign Unveiling,Marylou Whitney Pavilion Saratoga Racecourse,"267 Union Avenue, Saratoga Springs, NY",Saratoga,Saratoga Springs,Capital Region,43.0731013,-73.7699106
8/26/2022,Friday,Visit Saratoga Racecourse,Saratoga Racecourse,"267 Union Ave, Saratoga Springs, NY 12866",Saratoga,Saratoga Springs,Capital Region,43.0731013,-73.7699106
8/29/2022,Monday,Teamsters Joint Council Annual Meeting,Fort William Henry Resort and Conference Center,"48 Canada Street, Lake George, NY",Warren,Lake George,Capital Region,43.4209485,-73.7129362
8/29/2022,Monday,Child Care Funding Announcement,Vanderbilt YMCA,"224 East 47th Street, New York, NY",New York,New York,New York City,40.7532316,-73.9709081
8/31/2022,Wednesday,Gun Safety Press Conference,"Governor's Office, NYC","633 3rd Avenue, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
8/31/2022,Wednesday,Visit the U. S. Open,Arthur Ashe Stadium,"124-02 Roosevelt Ave, Flushing, NY 11368",Queens,Queens,New York City,40.7585475,-73.8332175
9/1/2022,Thursday,Hurricane Ida Anniversary Event,"Elmcor Youth & Adult Activities, Inc.","33-16 108th Street, Queens, NY",Queens,Queens,New York City,40.7572084,-73.8612603
9/1/2022,Thursday,Ulster County Wildfires Press Conference,Fire Incident Command Center,"20 Berme Road, Ellenville, NY",Ulster,Ellenville,Mid-Hudson,41.7137761,-74.3839986
9/2/2022,Friday,“Maid of the Mist” All-Electric Boat Ride,Niagara Falls,"1 Prospect Street, Niagara Falls, NY",Niagara,Niagara Falls,Western New York,43.0868495,-79.0646646
9/2/2022,Friday,Visit the Ralph C. Wilson Niagara Falls Visitor Center Plaza,Ralph C Wilson Niagara Falls Visitor Center Plaza,"332 Prospect Street, Niagara Falls 14303",Niagara,Niagara Falls,Western New York,43.0848753,-79.0629564
